Code|Level_2|Fonte
B01D  53/60|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/62|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/64|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/66|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/68|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/685|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/70|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/72|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/73|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/74|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/75|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/76|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/77|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/78|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/79|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/80|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/81|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/82|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/83|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/84|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/85|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/86|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/8603|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8606|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8609|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8612|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8615|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8618|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8621|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8625|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8628|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8631|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8634|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8637|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/864|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8643|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8646|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/865|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8653|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8656|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8659|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8662|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8665|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8668|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8671|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8675|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8678|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8681|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8684|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8687|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/869|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8693|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/8696|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/88|1.1.1. Emissions abatement from stationary sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants|CPC & IPC
B01D  53/885|1.1.1. Emissions abatement from stationary sources|CPC
B01D  53/90|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants; 1.1.2. Emissions abatement from mobile sources e.g. NOx, CO, HC, PM emissions from motor vehicles|CPC & IPC
B01D  53/92|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants; 1.1.2. Emissions abatement from mobile sources e.g. NOx, CO, HC, PM emissions from motor vehicles|CPC & IPC
B01D  53/922|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources|CPC
B01D  53/925|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources|CPC
B01D  53/927|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources|CPC
B01D  53/94|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources; 1.1.1. Emissions abatement from stationary sources e.g. SOx, NOx, PM emissions from combustion plants; 1.1.2. Emissions abatement from mobile sources e.g. NOx, CO, HC, PM emissions from motor vehicles|CPC & IPC
B01D  53/9404|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources|CPC
B01D  53/9409|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources|CPC
B01D  53/9413|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources|CPC
B01D  53/9418|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources|CPC
B01D  53/9422|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources|CPC
B01D  53/9427|1.1.1. Emissions abatement from stationary sources; 1.1.2. Emissions abatement from mobile sources|CPC
